timestamp,event_type,symbol,side,price,qty,reason,status,pnl
2026-03-17 22:59:23,TRADE,ETHUSDT,SELL,2328.81,0.016,,,0.0
2026-03-17 22:59:36,TRADE,ETHUSDT,SELL,2328.41,0.017,,,0.0
2026-03-17 22:59:47,TRADE,ETHUSDT,BUY,2328.07,0.019,,,0.0
2026-03-17 23:00:12,TRADE,SOLUSDT,SELL,93.76,0.36,,,0.0
2026-03-17 23:00:22,TRADE,SOLUSDT,SELL,93.71,0.36,,,0.0
2026-03-17 23:00:29,TRADE,ETHUSDT,SELL,2325.35,0.023,,,0.0
2026-03-17 23:00:44,TRADE,ETHUSDT,SELL,2324.86,0.017,,,0.0
2026-03-17 23:00:59,TRADE,ETHUSDT,BUY,2324.64,0.017,,,0.0
2026-03-17 23:01:20,TRADE,ETHUSDT,BUY,2324.29,0.019,,,0.0
2026-03-17 23:01:37,TRADE,ETHUSDT,BUY,2323.44,0.017,,,0.0
2026-03-17 23:01:48,TRADE,ETHUSDT,BUY,2325.79,0.018,,,0.0
2026-03-17 23:02:07,TRADE,ETHUSDT,SELL,2328.48,0.017,,,0.0
2026-03-17 23:02:26,TRADE,ETHUSDT,SELL,2328.54,0.017,,,0.0
2026-03-17 23:02:41,TRADE,ETHUSDT,BUY,2326.84,0.019,,,0.0
2026-03-17 23:03:12,TRADE,ETHUSDT,SELL,2323.94,0.023,,,0.0
2026-03-17 23:03:25,TRADE,ETHUSDT,SELL,2323.63,0.017,,,0.0
2026-03-17 23:03:42,TRADE,SOLUSDT,BUY,93.57,0.36,,,0.0
2026-03-17 23:03:59,TRADE,SOLUSDT,SELL,93.5,0.35,,,0.0
2026-03-17 23:04:09,TRADE,ETHUSDT,SELL,2319.98,0.012,,,0.0
2026-03-17 23:04:14,TRADE,SOLUSDT,BUY,93.54,0.38,,,0.0
2026-03-17 23:04:21,TRADE,ETHUSDT,BUY,2322.25,0.017,,,0.0
2026-03-17 23:04:34,TRADE,ETHUSDT,SELL,2324.04,0.017,,,0.0
2026-03-17 23:04:44,TRADE,ETHUSDT,SELL,2322.14,0.014,,,0.0
2026-03-17 23:04:47,TRADE,SOLUSDT,BUY,93.63,0.39,,,0.0
